"ID_edificio";"Descrizione_edificio";"ID_sensore";"Tipo_misura";"Nome_sito";"Data_rilevazione";"Valore_misura";"Unita_misurazione"
"2016-22-007488-A/1187";"L1-007-064 L.S. Gobetti";"2016-22-007488-A/4607";"Sensor1";"GOBETTI";"25/11/2021 05:00";"11,14";"°C"
"2016-22-007488-A/1074";"L1-007-162 IPC_Giolitti";"2016-22-007488-A/4063";"Sensor1";"GIOLITTI";"20/11/2021 22:00";"16,04";"°C"
"2016-22-007488-A/1087";"L1-007-203 Provveditorato agli studi";"2016-22-007488-A/4111";"Sensor1";"Uffici Prov.Scol. - Via Coazze";"20/11/2021 21:00";"16,70";"°C"
"2016-22-007488-A/1564";"L1-007-998 Circondario di Lanzo";"2016-22-007488-A/6262";"Sensor1";"Circondario - Lanzo Torinese";"20/11/2021 01:00";"20,78";"°C"
"2016-22-007488-A/1568";"L1-007-111 IPC D ORIA Succursale";"2016-22-007488-A/6329";"Sensor1";"D'ORIA SUCC Battitore";"20/11/2021 04:00";"19,08";"°C"
"2016-22-007488-A/918";"L1-007-070-071 ITC Majorana";"2016-22-007488-A/3460";"Sensor1";"MAJORANA SUCC Tazzoli";"20/11/2021 11:00";"19,66";"°C"
"2016-22-007488-A/1341";"L1-007-165-166 IPIA GOBETTI_L Europeo_ITC ARD";"2016-22-007488-A/5301";"Sensor1";"PLESSO FIGLIE DEI MILITARI";"20/11/2021 06:00";"21,18";"°C"
"2016-22-007488-A/1004";"L1-007-009 I.P. Agrario Ubertini Sede Coordinata";"2016-22-007488-A/3797";"Sensor1";"BALDESSANO-ROCCATI 2 Sales";"20/11/2021 17:00";"16,37";"°C"
"2016-22-007488-A/1288";"L1-007-013 ITC PASCAL";"2016-22-007488-A/5061";"Sensor1";"PASCAL Carducci";"20/11/2021 23:00";"17,88";"°C"
"2016-22-007488-A/1547";"L1-007-029 ITCG BUNIVA Prefabbricato Succ";"2016-22-007488-A/6145";"Sensor1";"BUNIVA SEDE";"20/11/2021 07:00";"22,67";"°C"
"2016-22-007488-A/1004";"L1-007-009 I.P. Agrario Ubertini Sede Coordinata";"2016-22-007488-A/3797";"Sensor1";"BALDESSANO-ROCCATI 2 Sales";"21/11/2021 19:00";"14,88";"°C"
"2016-22-007488-A/1914";"L1-007-219 Nuova Sede Succ LS Marie Curie";"2016-22-007488-A/7850";"Sensor1";"CURIE-LEVI Villa 6 (Collegno)";"21/11/2021 06:00";"15,84";"°C"
"2016-22-007488-A/1283";"L1-007-130 ITIS PININFARINA";"2016-22-007488-A/5033";"Sensor1";"PININFARINA";"21/11/2021 14:00";"15,68";"°C"
"2016-22-007488-A/1903";"L1-007-113 ITCG FERMI_LS GALILEI Palestra";"2016-22-007488-A/8126";"Sensor1";"FERMI-GALILEI";"21/11/2021 13:00";"16,93";"°C"
"2016-22-007488-A/1329";"L1-007-022 ITAS DALMASSO Az Agr";"2016-22-007488-A/5246";"Sensor1";"DALMASSO";"21/11/2021 20:00";"19,29";"°C"
"2016-22-007488-A/1341";"L1-007-165-166 IPIA GOBETTI_L Europeo_ITC ARD";"2016-22-007488-A/5301";"Sensor1";"PLESSO FIGLIE DEI MILITARI";"21/11/2021 04:00";"19,81";"°C"
"2016-22-007488-A/1599";"L1-007-115 IPC JERVIS di Torino Sez. coord";"2016-22-007488-A/6552";"Sensor1";"25 APRILE-FACCIO SUCC Maggio 11";"21/11/2021 17:00";"14,54";"°C"
"2016-22-007488-A/1085";"L1-007-049 IPIA Plana";"2016-22-007488-A/4103";"Sensor1";"PLANA SUCC Chiomonte";"23/11/2021 18:00";"18,93";"°C"
"2016-22-007488-A/1572";"L1-007-118 LS Gramsci";"2016-22-007488-A/6385";"Sensor1";"GRAMSCI";"23/11/2021 00:00";"17,60";"°C"
"2016-22-007488-A/1011";"L1-007-170 LS COPERNICO I.T.C. LUXEMBURG";"2016-22-007488-A/3823";"Sensor1";"I.T Rosa LUXEMBURG";"23/11/2021 09:00";"15,75";"°C"
"2016-22-007488-A/1287";"L1-007-142-143 IP Altre Spec_STEINER + Custode";"2016-22-007488-A/5056";"Sensor1";"STEINER Agrigento";"23/11/2021 04:00";"18,61";"°C"
"2016-22-007488-A/1311";"L1-007-063 LS CATTANEO Succursale";"2016-22-007488-A/5151";"Sensor1";"CATTANEO SUCC Postumia";"23/11/2021 08:00";"19,05";"°C"
"2016-22-007488-A/1500";"L1-007-031 ITIS PORRO Offcine";"2016-22-007488-A/5982";"Sensor1";"ALBERTI-PORRO";"23/11/2021 20:00";"19,16";"°C"
"2016-22-007488-A/1564";"L1-007-998 Circondario di Lanzo";"2016-22-007488-A/6261";"Sensor1";"Circondario - Lanzo Torinese";"23/11/2021 18:00";"1,68";"°C"
"2016-22-007488-A/1575";"L1-007-173 IA Faccio";"2016-22-007488-A/6420";"Sensor1";"25 APRILE-FACCIO SUCC Pullino";"23/11/2021 16:00";"21,32";"°C"
"2016-22-007488-A/923";"L1-007-221 LS Majorana";"2016-22-007488-A/3547";"Sensor1";"MAJORANA Frattini";"23/11/2021 08:00";"16,24";"°C"
"2016-22-007488-A/1290";"L1-007-160 LS EINSTEIN EX GRAMSCI_Succ";"2016-22-007488-A/5071";"Sensor1";"EINSTEIN SUCC1 Bologna";"18/11/2021 02:00";"17,97";"°C"
"2016-22-007488-A/1329";"L1-007-022 ITAS DALMASSO Az Agr";"2016-22-007488-A/5246";"Sensor1";"DALMASSO";"18/11/2021 13:00";"22,74";"°C"
"2016-22-007488-A/1329";"L1-007-022 ITAS DALMASSO Az Agr";"2016-22-007488-A/5325";"Sensor1";"DALMASSO";"18/11/2021 10:00";"21,21";"°C"
"2016-22-007488-A/1535";"L1-007-167 ITIS LEVI";"2016-22-007488-A/6087";"Sensor1";"PRIMO LEVI";"18/11/2021 11:00";"17,86";"°C"
"2016-22-007488-A/1547";"L1-007-029 ITCG BUNIVA Prefabbricato Succ";"2016-22-007488-A/6145";"Sensor1";"BUNIVA SEDE";"18/11/2021 16:00";"22,91";"°C"
"2016-22-007488-A/1085";"L1-007-049 IPIA Plana";"2016-22-007488-A/4103";"Sensor1";"PLANA SUCC Chiomonte";"18/11/2021 14:00";"19,19";"°C"
"2016-22-007488-A/1085";"L1-007-049 IPIA Plana";"2016-22-007488-A/4103";"Sensor1";"PLANA SUCC Chiomonte";"18/11/2021 16:00";"19,01";"°C"
"2016-22-007488-A/1329";"L1-007-022 ITAS DALMASSO Az Agr";"2016-22-007488-A/5325";"Sensor1";"DALMASSO";"18/11/2021 07:00";"21,86";"°C"
"2016-22-007488-A/1248";"L1-007-001 ITCG GALILEI Sede";"2016-22-007488-A/4873";"Sensor1";"GALILEI Nicol";"18/11/2021 04:00";"9,54";"°C"
"2016-22-007488-A/1576";"L1-007-120-122-123 ITIS OLIVETTI_OFFICINA_PALESTRA";"2016-22-007488-A/6423";"Sensor1";"OLIVETTI";"18/11/2021 16:00";"20,25";"°C"
"2016-22-007488-A/1484";"L1-007-036-037 L.S. ""DARWIN"" + I.T.C. ""ROMERO";"2016-22-007488-A/5902";"Sensor1";"PLESSO DARWIN-ROMERO";"18/11/2021 00:00";"17,30";"°C"
"2016-22-007488-A/1485";"L1-007-164 IPIA GALILEI Succ";"2016-22-007488-A/5913";"Sensor1";"REGINA MARGHERITA SUCC Caduti";"18/11/2021 22:00";"18,44";"°C"
"2016-22-007488-A/1568";"L1-007-111 IPC D ORIA Succursale";"2016-22-007488-A/6329";"Sensor1";"D'ORIA SUCC Battitore";"18/11/2021 22:00";"19,37";"°C"
"2016-22-007488-A/1094";"L1-007-169 L.S. SEGRE";"2016-22-007488-A/4146";"Sensor1";"GOBETTI SUCC Picco";"20/11/2021 15:00";"20,63";"°C"
"2016-22-007488-A/1368";"L1-007-147-148 ITCG GUARINI_Custode";"2016-22-007488-A/5436";"Sensor1";"I.T. G. GUARINI e I.T. CASALE";"20/11/2021 14:00";"16,37";"°C"
"2016-22-007488-A/1329";"L1-007-022 ITAS DALMASSO Az Agr";"2016-22-007488-A/5246";"Sensor1";"DALMASSO";"20/11/2021 22:00";"22,50";"°C"
"2016-22-007488-A/1329";"L1-007-022 ITAS DALMASSO Az Agr";"2016-22-007488-A/5325";"Sensor1";"DALMASSO";"20/11/2021 00:00";"22,33";"°C"
"2016-22-007488-A/1375";"L1-007-190 ITCG RUSSEL_MORO Succursal";"2016-22-007488-A/5472";"Sensor1";"PLESSO RUSSELL MORO EINSTEIN";"20/11/2021 10:00";"15,40";"°C"
"2016-22-007488-A/1568";"L1-007-111 IPC D ORIA Succursale";"2016-22-007488-A/6329";"Sensor1";"D'ORIA SUCC Battitore";"20/11/2021 19:00";"19,51";"°C"
"2016-22-007488-A/1572";"L1-007-118 LS Gramsci";"2016-22-007488-A/6385";"Sensor1";"GRAMSCI";"20/11/2021 02:00";"18,03";"°C"
"2016-22-007488-A/1283";"L1-007-130 ITIS PININFARINA";"2016-22-007488-A/5033";"Sensor1";"PININFARINA";"25/11/2021 08:00";"15,28";"°C"
"2016-22-007488-A/1377";"L1-007-195 Abbazia Novalesa";"2016-22-007488-A/5530";"Sensor1";"Abbazia della Novalesa";"25/11/2021 16:00";"20,48";"°C"
"2016-22-007488-A/1547";"L1-007-029 ITCG BUNIVA Prefabbricato Succ";"2016-22-007488-A/6145";"Sensor1";"BUNIVA SEDE";"25/11/2021 10:00";"22,69";"°C"
"2016-22-007488-A/1004";"L1-007-009 I.P. Agrario Ubertini Sede Coordinata";"2016-22-007488-A/3797";"Sensor1";"BALDESSANO-ROCCATI 2 Sales";"25/11/2021 10:00";"18,74";"°C"
"2016-22-007488-A/1224";"L1-007-144 IP Arte Bianca BECCARI Ex GUARELLA";"2016-22-007488-A/4765";"Sensor1";"BECCARI Paganini";"25/11/2021 00:00";"19,07";"°C"
"2016-22-007488-A/1903";"L1-007-113 ITCG FERMI_LS GALILEI Palestra";"2016-22-007488-A/8126";"Sensor1";"FERMI-GALILEI";"25/11/2021 21:00";"18,22";"°C"
"2016-22-007488-A/1087";"L1-007-203 Provveditorato agli studi";"2016-22-007488-A/4111";"Sensor1";"Uffici Prov.Scol. - Via Coazze";"25/11/2021 21:00";"18,57";"°C"
"2016-22-007488-A/1159";"L1-007-044 I. d_arte Passoni";"2016-22-007488-A/4492";"Sensor1";"PASSONI Della Rocca";"25/11/2021 09:00";"17,37";"°C"
"2016-22-007488-A/1368";"L1-007-147-148 ITCG GUARINI_Custode";"2016-22-007488-A/5436";"Sensor1";"I.T. G. GUARINI e I.T. CASALE";"25/11/2021 23:00";"16,16";"°C"
"2016-22-007488-A/1471";"L1-007-003 ITCG GALILEI Succ I prefabbricato";"2016-22-007488-A/5841";"Sensor1";"GALILEI SUCC Brut";"25/11/2021 00:00";"16,88";"°C"
"2016-22-007488-A/974";"L1-007-080 LC Baldessano";"2016-22-007488-A/3675";"Sensor1";"BALDESSANO-ROCCATI 1 Agostino";"25/11/2021 21:00";"18,32";"°C"
"2016-22-007488-A/1572";"L1-007-118 LS Gramsci";"2016-22-007488-A/6385";"Sensor1";"GRAMSCI";"16/11/2021 05:00";"17,69";"°C"
"2016-22-007488-A/974";"L1-007-080 LC Baldessano";"2016-22-007488-A/3675";"Sensor1";"BALDESSANO-ROCCATI 1 Agostino";"16/11/2021 07:00";"19,54";"°C"
"2016-22-007488-A/1198";"L1-007-061 L.C. Gioberti";"2016-22-007488-A/4652";"Sensor1";"GIOBERTI";"16/11/2021 00:00";"19,12";"°C"
"2016-22-007488-A/1568";"L1-007-111 IPC D ORIA Succursale";"2016-22-007488-A/6329";"Sensor1";"D'ORIA SUCC Battitore";"16/11/2021 09:00";"19,58";"°C"
"2016-22-007488-A/1241";"L1-007-134  ITIS _LS MAXWELL";"2016-22-007488-A/5075";"Sensor1";"";"16/11/2021 21:00";"17,54";"°C"
"2016-22-007488-A/1368";"L1-007-147-148 ITCG GUARINI_Custode";"2016-22-007488-A/5436";"Sensor1";"I.T. G. GUARINI e I.T. CASALE";"16/11/2021 14:00";"18,46";"°C"
"2016-22-007488-A/1916";"L1-007-108 Palestra Newton";"2016-22-007488-A/10581";"Sensor1";"";"16/11/2021 23:00";"18,30";"°C"
"2016-22-007488-A/1329";"L1-007-022 ITAS DALMASSO Az Agr";"2016-22-007488-A/5246";"Sensor1";"DALMASSO";"19/11/2021 05:00";"22,96";"°C"
"2016-22-007488-A/1375";"L1-007-190 ITCG RUSSEL_MORO Succursal";"2016-22-007488-A/5472";"Sensor1";"PLESSO RUSSELL MORO EINSTEIN";"19/11/2021 08:00";"17,80";"°C"
"2016-22-007488-A/1458";"L1-007-141 Succursale Ferraris  CTP";"2016-22-007488-A/5755";"Sensor1";"PLESSO 8 MARZO-FERRARIS";"19/11/2021 15:00";"14,68";"°C"
"2016-22-007488-A/1599";"L1-007-115 IPC JERVIS di Torino Sez. coord";"2016-22-007488-A/6552";"Sensor1";"25 APRILE-FACCIO SUCC Maggio 11";"19/11/2021 21:00";"18,99";"°C"
"2016-22-007488-A/974";"L1-007-080 LC Baldessano";"2016-22-007488-A/3675";"Sensor1";"BALDESSANO-ROCCATI 1 Agostino";"19/11/2021 05:00";"19,56";"°C"
"2016-22-007488-A/1287";"L1-007-142-143 IP Altre Spec_STEINER + Custode";"2016-22-007488-A/5056";"Sensor1";"STEINER Agrigento";"19/11/2021 21:00";"18,54";"°C"
"2016-22-007488-A/1074";"L1-007-162 IPC_Giolitti";"2016-22-007488-A/4063";"Sensor1";"GIOLITTI";"19/11/2021 23:00";"16,55";"°C"
"2016-22-007488-A/1329";"L1-007-022 ITAS DALMASSO Az Agr";"2016-22-007488-A/5246";"Sensor1";"DALMASSO";"19/11/2021 17:00";"21,17";"°C"
"2016-22-007488-A/1592";"L1-007-100 IA FACCIO Succ";"2016-22-007488-A/6524";"Sensor1";"25 APRILE-FACCIO SUCC Trabucco";"19/11/2021 04:00";"19,58";"°C"
"2016-22-007488-A/1447";"L1-007-140 IPSIC GIOLITTI";"2016-22-007488-A/5730";"Sensor1";"PLESSO 8 MARZO-FERRARIS";"19/11/2021 04:00";"17,41";"°C"
"2016-22-007488-A/1500";"L1-007-031 ITIS PORRO Offcine";"2016-22-007488-A/5982";"Sensor1";"ALBERTI-PORRO";"19/11/2021 13:00";"19,86";"°C"
"2016-22-007488-A/1504";"L1-007-024 IPSA PREVERT Scuola";"2016-22-007488-A/5991";"Sensor1";"PREVER (Pinerolo)";"26/11/2021 10:00";"19,62";"°C"
"2016-22-007488-A/1283";"L1-007-130 ITIS PININFARINA";"2016-22-007488-A/5033";"Sensor1";"PININFARINA";"26/11/2021 00:00";"17,77";"°C"
"2016-22-007488-A/974";"L1-007-080 LC Baldessano";"2016-22-007488-A/3675";"Sensor1";"BALDESSANO-ROCCATI 1 Agostino";"26/11/2021 06:00";"19,61";"°C"
"2016-22-007488-A/1396";"L1-007-040 LC ROSA";"2016-22-007488-A/5563";"Sensor1";"ROSA Savoia (Susa)";"26/11/2021 18:00";"16,67";"°C"
"2016-22-007488-A/1458";"L1-007-141 Succursale Ferraris  CTP";"2016-22-007488-A/5755";"Sensor1";"PLESSO 8 MARZO-FERRARIS";"26/11/2021 16:00";"17,74";"°C"
"2016-22-007488-A/1599";"L1-007-115 IPC JERVIS di Torino Sez. coord";"2016-22-007488-A/6552";"Sensor1";"25 APRILE-FACCIO SUCC Maggio 11";"26/11/2021 16:00";"20,04";"°C"
"2016-22-007488-A/1599";"L1-007-115 IPC JERVIS di Torino Sez. coord";"2016-22-007488-A/6552";"Sensor1";"25 APRILE-FACCIO SUCC Maggio 11";"26/11/2021 18:00";"19,55";"°C"
"2016-22-007488-A/1599";"L1-007-115 IPC JERVIS di Torino Sez. coord";"2016-22-007488-A/6552";"Sensor1";"25 APRILE-FACCIO SUCC Maggio 11";"26/11/2021 19:00";"19,33";"°C"
"2016-22-007488-A/1903";"L1-007-113 ITCG FERMI_LS GALILEI Palestra";"2016-22-007488-A/8126";"Sensor1";"FERMI-GALILEI";"26/11/2021 13:00";"18,70";"°C"
"2016-22-007488-A/2498";"L1-007-159 LS EINSTEIN";"2016-22-007488-A/10523";"Sensor1";"";"26/11/2021 16:00";"17,76";"°C"
"2016-22-007488-A/1004";"L1-007-009 I.P. Agrario Ubertini Sede Coordinata";"2016-22-007488-A/3797";"Sensor1";"BALDESSANO-ROCCATI 2 Sales";"12/11/2021 07:00";"19,61";"°C"
"2016-22-007488-A/1011";"L1-007-170 LS COPERNICO I.T.C. LUXEMBURG";"2016-22-007488-A/3823";"Sensor1";"I.T Rosa LUXEMBURG";"12/11/2021 15:00";"18,53";"°C"
"2016-22-007488-A/1094";"L1-007-169 L.S. SEGRE";"2016-22-007488-A/4146";"Sensor1";"GOBETTI SUCC Picco";"12/11/2021 20:00";"19,58";"°C"
"2016-22-007488-A/1568";"L1-007-111 IPC D ORIA Succursale";"2016-22-007488-A/6329";"Sensor1";"D'ORIA SUCC Battitore";"12/11/2021 08:00";"19,44";"°C"
"2016-22-007488-A/2543";"L1-007-053 I.T.C. LEVI";"2016-22-007488-A/10771";"Sensor1";"";"12/11/2021 14:00";"22,03";"°C"
"2016-22-007488-A/1940";"L1-007-082 ITIS PORRO di Pinerolo Ossasco";"2016-22-007488-A/7969";"Sensor1";"PREVER SUCC (Osasco)";"12/11/2021 04:00";"17,10";"°C"
"2016-22-007488-A/1133";"L1-007-189 IPSIA Zerboni Succursale";"2016-22-007488-A/4356";"Sensor1";"ZERBONI";"12/11/2021 23:00";"20,62";"°C"
"2016-22-007488-A/1159";"L1-007-044 I. d_arte Passoni";"2016-22-007488-A/4492";"Sensor1";"PASSONI Della Rocca";"12/11/2021 21:00";"18,76";"°C"
"2016-22-007488-A/1604";"L1-007-109 Succ UBERTINI di Caluso";"2016-22-007488-A/6575";"Sensor1";"UBERTINI SUCC2 (Chivasso)";"12/11/2021 22:00";"19,35";"°C"
"2016-22-007488-A/1605";"L1-007-105 ITIS CASALE Ex DA VINCI";"2016-22-007488-A/6578";"Sensor1";"EUROPA UNITA";"13/11/2021 02:00";"17,47";"°C"
"2016-22-007488-A/1223";"L1-007-156 LA PRIMO";"2016-22-007488-A/4762";"Sensor1";"1° LICEO ARTISTICO";"13/11/2021 13:00";"18,82";"°C"
"2016-22-007488-A/1240";"L1-007-047 IPC Boselli_ITC Sella";"2016-22-007488-A/4823";"Sensor1";"PLESSO SELLA-BOSELLI";"13/11/2021 11:00";"20,21";"°C"
"2016-22-007488-A/1341";"L1-007-165-166 IPIA GOBETTI_L Europeo_ITC ARD";"2016-22-007488-A/5301";"Sensor1";"PLESSO FIGLIE DEI MILITARI";"13/11/2021 13:00";"21,05";"°C"
"2016-22-007488-A/1283";"L1-007-130 ITIS PININFARINA";"2016-22-007488-A/5033";"Sensor1";"PININFARINA";"13/11/2021 04:00";"18,80";"°C"
"2016-22-007488-A/1458";"L1-007-141 Succursale Ferraris  CTP";"2016-22-007488-A/5755";"Sensor1";"PLESSO 8 MARZO-FERRARIS";"13/11/2021 17:00";"15,88";"°C"
"2016-22-007488-A/1883";"L1-007-059 LC Cavour";"2016-22-007488-A/7750";"Sensor1";"CAVOUR Tassoni";"13/11/2021 10:00";"20,32";"°C"
"2016-22-007488-A/1004";"L1-007-009 I.P. Agrario Ubertini Sede Coordinata";"2016-22-007488-A/3797";"Sensor1";"BALDESSANO-ROCCATI 2 Sales";"17/11/2021 07:00";"19,56";"°C"
"2016-22-007488-A/1262";"L1-007-101 ITC VITTONE_LS Linguistico MONTI";"2016-22-007488-A/4938";"Sensor1";"PLESSO MONTI-VITTONE";"17/11/2021 03:00";"20,23";"°C"
"2016-22-007488-A/1375";"L1-007-190 ITCG RUSSEL_MORO Succursal";"2016-22-007488-A/5472";"Sensor1";"PLESSO RUSSELL MORO EINSTEIN";"17/11/2021 04:00";"17,37";"°C"
"2016-22-007488-A/1564";"L1-007-998 Circondario di Lanzo";"2016-22-007488-A/6262";"Sensor1";"Circondario - Lanzo Torinese";"17/11/2021 20:00";"22,63";"°C"
"2016-22-007488-A/1572";"L1-007-118 LS Gramsci";"2016-22-007488-A/6385";"Sensor1";"GRAMSCI";"17/11/2021 09:00";"18,53";"°C"
"2016-22-007488-A/1274";"L1-007-155 ITIS PEANO IPIA ZERBONI";"2016-22-007488-A/5015";"Sensor1";"PEANO";"17/11/2021 01:00";"22,30";"°C"
"2016-22-007488-A/1355";"L1-007-191 GIOBERTI Succ";"2016-22-007488-A/5377";"Sensor1";"PLESSO GIOBERTI-GOBETTI SUCC";"17/11/2021 04:00";"17,00";"°C"
"2016-22-007488-A/1550";"L1-007-125 IM ALBERT";"2016-22-007488-A/6165";"Sensor1";"ALBERT";"17/11/2021 03:00";"19,29";"°C"
"2016-22-007488-A/1903";"L1-007-113 ITCG FERMI_LS GALILEI Palestra";"2016-22-007488-A/8126";"Sensor1";"FERMI-GALILEI";"17/11/2021 17:00";"20,19";"°C"
"2016-22-007488-A/1916";"L1-007-108 Palestra Newton";"2016-22-007488-A/10581";"Sensor1";"";"17/11/2021 15:00";"20,95";"°C"
"2016-22-007488-A/1004";"L1-007-009 I.P. Agrario Ubertini Sede Coordinata";"2016-22-007488-A/3797";"Sensor1";"BALDESSANO-ROCCATI 2 Sales";"10/10/2021 22:00";"20,26";"°C"
"2016-22-007488-A/1074";"L1-007-162 IPC_Giolitti";"2016-22-007488-A/4063";"Sensor1";"GIOLITTI";"11/10/2021 14:00";"19,96";"°C"